año;mes;hora;factor_antofagasta;factor_santiago;factor_puertomontt
2025;1;18;0.216;0.260;0.348
2025;1;19;0.042;0.073;0.153
2025;1;20;0;0;0.027
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.013;0.031;0.045
2025;1;8;0.105;0.147;0.159
2025;1;9;0.308;0.373;0.294
2025;1;10;0.491;0.553;0.424
2025;1;11;0.629;0.663;0.502
2025;1;12;0.716;0.740;0.537
2025;1;13;0.752;0.768;0.498
2025;1;14;0.740;0.776;0.397
2025;1;15;0.681;0.733;0.327
2025;1;16;0.570;0.624;0.295
2025;1;17;0.411;0.464;0.188
2025;1;18;0.216;0.255;0.113
2025;1;19;0.039;0.076;0.063
2025;1;20;0;0;0.020
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.014;0.026;0.037
2025;1;8;0.110;0.147;0.139
2025;1;9;0.301;0.366;0.323
2025;1;10;0.486;0.538;0.558
2025;1;11;0.623;0.644;0.672
2025;1;12;0.711;0.751;0.792
2025;1;13;0.750;0.795;0.841
2025;1;14;0.738;0.783;0.850
2025;1;15;0.678;0.734;0.797
2025;1;16;0.568;0.629;0.697
2025;1;17;0.407;0.474;0.549
2025;1;18;0.211;0.277;0.362
2025;1;19;0.043;0.072;0.160
2025;1;20;0;0;0.028
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.013;0.030;0.014
2025;1;8;0.110;0.150;0.119
2025;1;9;0.302;0.372;0.314
2025;1;10;0.487;0.556;0.489
2025;1;11;0.628;0.678;0.659
2025;1;12;0.721;0.732;0.758
2025;1;13;0.755;0.724;0.789
2025;1;14;0.741;0.694;0.713
2025;1;15;0.681;0.637;0.585
2025;1;16;0.571;0.542;0.473
2025;1;17;0.412;0.408;0.485
2025;1;18;0.217;0.257;0.324
2025;1;19;0.041;0.075;0.143
2025;1;20;0;0;0.029
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.011;0.028;0.037
2025;1;8;0.104;0.155;0.180
2025;1;9;0.313;0.364;0.405
2025;1;10;0.497;0.540;0.594
2025;1;11;0.632;0.688;0.731
2025;1;12;0.719;0.734;0.816
2025;1;13;0.754;0.755;0.853
2025;1;14;0.742;0.722;0.845
2025;1;15;0.680;0.631;0.793
2025;1;16;0.569;0.433;0.695
2025;1;17;0.409;0.246;0.550
2025;1;18;0.215;0.138;0.361
2025;1;19;0.041;0.073;0.156
2025;1;20;0;0;0.022
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.012;0.019;0.044
2025;1;8;0.108;0.149;0.110
2025;1;9;0.303;0.371;0.240
2025;1;10;0.490;0.553;0.413
2025;1;11;0.626;0.683;0.645
2025;1;12;0.712;0.760;0.751
2025;1;13;0.748;0.789;0.702
2025;1;14;0.737;0.771;0.524
2025;1;15;0.677;0.710;0.650
2025;1;16;0.567;0.605;0.512
2025;1;17;0.410;0.454;0.332
2025;1;18;0.216;0.263;0.135
2025;1;19;0.042;0.073;0.044
2025;1;20;0;0;0.015
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.012;0.027;0.028
2025;1;8;0.107;0.146;0.115
2025;1;9;0.304;0.355;0.263
2025;1;10;0.486;0.528;0.317
2025;1;11;0.624;0.648;0.372
2025;1;12;0.710;0.706;0.460
2025;1;13;0.744;0.726;0.530
2025;1;14;0.732;0.707;0.545
2025;1;15;0.672;0.674;0.628
2025;1;16;0.562;0.573;0.541
2025;1;17;0.405;0.429;0.426
2025;1;18;0.214;0.252;0.316
2025;1;19;0.043;0.074;0.142
2025;1;20;0;0;0.024
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.008;0.014;0.035
2025;1;8;0.095;0.146;0.178
2025;1;9;0.234;0.371;0.405
2025;1;10;0.400;0.550;0.597
2025;1;11;0.555;0.677;0.736
2025;1;12;0.660;0.754;0.822
2025;1;13;0.702;0.786;0.860
2025;1;14;0.701;0.775;0.853
2025;1;15;0.651;0.721;0.800
2025;1;16;0.547;0.620;0.700
2025;1;17;0.403;0.470;0.553
2025;1;18;0.216;0.275;0.363
2025;1;19;0.046;0.070;0.155
2025;1;20;0;0;0.019
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.010;0.021;0.040
2025;1;8;0.096;0.144;0.160
2025;1;9;0.221;0.369;0.316
2025;1;10;0.403;0.554;0.470
2025;1;11;0.529;0.682;0.582
2025;1;12;0.589;0.759;0.739
2025;1;13;0.627;0.789;0.801
2025;1;14;0.623;0.775;0.793
2025;1;15;0.585;0.708;0.771
2025;1;16;0.519;0.583;0.654
2025;1;17;0.396;0.404;0.513
2025;1;18;0.219;0.249;0.295
2025;1;19;0.047;0.072;0.136
2025;1;20;0;0;0.018
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.010;0.007;0.023
2025;1;8;0.107;0.149;0.109
2025;1;9;0.309;0.384;0.273
2025;1;10;0.489;0.570;0.421
2025;1;11;0.621;0.699;0.572
2025;1;12;0.704;0.777;0.638
2025;1;13;0.738;0.810;0.731
2025;1;14;0.725;0.798;0.799
2025;1;15;0.665;0.740;0.713
2025;1;16;0.557;0.635;0.554
2025;1;17;0.401;0.479;0.430
2025;1;18;0.212;0.279;0.322
2025;1;19;0.045;0.072;0.151
2025;1;20;0;0;0.021
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.011;0.015;0.016
2025;1;8;0.111;0.148;0.100
2025;1;9;0.289;0.384;0.264
2025;1;10;0.445;0.572;0.353
2025;1;11;0.548;0.703;0.448
2025;1;12;0.623;0.781;0.480
2025;1;13;0.667;0.811;0.591
2025;1;14;0.663;0.796;0.619
2025;1;15;0.616;0.737;0.664
2025;1;16;0.525;0.631;0.597
2025;1;17;0.390;0.475;0.462
2025;1;18;0.209;0.276;0.307
2025;1;19;0.047;0.073;0.118
2025;1;20;0;0;0.009
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.010;0.010;0.033
2025;1;8;0.109;0.148;0.128
2025;1;9;0.301;0.378;0.324
2025;1;10;0.482;0.562;0.451
2025;1;11;0.611;0.690;0.621
2025;1;12;0.701;0.768;0.762
2025;1;13;0.734;0.799;0.848
2025;1;14;0.718;0.786;0.830
2025;1;15;0.656;0.729;0.770
2025;1;16;0.545;0.625;0.667
2025;1;17;0.390;0.471;0.536
2025;1;18;0.201;0.273;0.346
2025;1;19;0.046;0.072;0.140
2025;1;20;0;0;0.016
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;2;0;0;0;0
2025;2;1;0;0;0
2025;2;2;0;0;0
2025;2;3;0;0;0
2025;2;4;0;0;0
2025;2;5;0;0;0
2025;2;6;0;0;0
2025;2;7;0.009;0.007;0.039
2025;2;8;0.108;0.150;0.170
2025;2;9;0.307;0.385;0.370
2025;2;10;0.487;0.572;0.542
2025;2;11;0.619;0.702;0.583
2025;2;12;0.688;0.780;0.613
2025;2;13;0.715;0.809;0.570
2025;2;14;0.702;0.795;0.562
2025;2;15;0.640;0.736;0.643
2025;2;16;0.542;0.630;0.443
2025;2;17;0.388;0.475;0.329
2025;2;18;0.209;0.277;0.228
2025;2;19;0.045;0.071;0.107
2025;2;20;0;0;0.010
2025;2;21;0;0;0
2025;2;22;0;0;0
2025;2;23;0;0;0
2025;2;0;0;0;0
2025;2;1;0;0;0
2025;2;2;0;0;0
2025;2;3;0;0;0
2025;2;4;0;0;0
2025;2;5;0;0;0
2025;2;6;0;0;0
2025;2;7;0.008;0.009;0.033
2025;2;8;0.106;0.147;0.169
2025;2;9;0.262;0.378;0.389
2025;2;10;0.432;0.562;0.576
2025;2;11;0.571;0.692;0.712
2025;2;12;0.658;0.773;0.796
2025;2;13;0.696;0.807;0.832
2025;2;14;0.701;0.796;0.823
2025;2;15;0.659;0.739;0.770
2025;2;16;0.562;0.635;0.671
2025;2;17;0.405;0.479;0.520
2025;2;18;0.216;0.277;0.265
2025;2;19;0.045;0.072;0.088
2025;2;20;0;0;0.008
2025;2;21;0;0;0
2025;2;22;0;0;0
2025;2;23;0;0;0
2025;2;0;0;0;0
2025;2;1;0;0;0
2025;2;2;0;0;0
2025;2;3;0;0;0
2025;2;4;0;0;0
2025;2;5;0;0;0
2025;2;6;0;0;0
2025;2;7;0.007;0.014;0.029
2025;2;8;0.105;0.145;0.161
2025;2;9;0.316;0.348;0.376
2025;2;10;0.499;0.505;0.556
2025;2;11;0.632;0.576;0.685
2025;2;12;0.720;0.669;0.762
2025;2;13;0.754;0.762;0.793
2025;2;14;0.741;0.753;0.783
2025;2;15;0.679;0.698;0.733
2025;2;16;0.569;0.591;0.638
2025;2;17;0.411;0.436;0.493
2025;2;18;0.218;0.250;0.319
2025;2;19;0.042;0.070;0.132
2025;2;20;0;0;0.012
2025;2;21;0;0;0
2025;2;22;0;0;0
2025;2;23;0;0;0
2025;2;0;0;0;0
2025;2;1;0;0;0
2025;2;2;0;0;0
2025;2;3;0;0;0
2025;2;4;0;0;0
2025;2;5;0;0;0
2025;2;6;0;0;0
2025;2;7;0.008;0.011;0.027
2025;2;8;0.109;0.144;0.158
2025;2;9;0.295;0.366;0.371
2025;2;10;0.478;0.545;0.550
2025;2;11;0.612;0.672;0.679
2025;2;12;0.695;0.751;0.758
2025;2;13;0.724;0.785;0.791
2025;2;14;0.704;0.775;0.781
2025;2;15;0.637;0.718;0.728
2025;2;16;0.519;0.616;0.632
2025;2;17;0.365;0.464;0.492
2025;2;18;0.190;0.269;0.316
2025;2;19;0.042;0.071;0.130
2025;2;20;0;0;0.011
2025;2;21;0;0;0
2025;2;22;0;0;0
2025;2;23;0;0;0
2025;2;0;0;0;0
2025;2;1;0;0;0
2025;2;2;0;0;0
2025;2;3;0;0;0
2025;2;4;0;0;0
2025;2;5;0;0;0
2025;2;6;0;0;0
2025;2;7;0.006;0.008;0.017
2025;2;8;0.108;0.146;0.154
2025;2;9;0.290;0.378;0.356
2025;2;10;0.466;0.563;0.527
2025;2;11;0.595;0.694;0.652
2025;2;12;0.680;0.770;0.736
2025;2;13;0.716;0.801;0.768
2025;2;14;0.710;0.788;0.757
2025;2;15;0.662;0.730;0.708
2025;2;16;0.560;0.625;0.613
2025;2;17;0.405;0.471;0.476
2025;2;18;0.216;0.273;0.304
2025;2;19;0.044;0.070;0.124
2025;2;20;0;0;0.010
2025;2;21;0;0;0
2025;2;22;0;0;0
2025;2;23;0;0;0
2025;2;0;0;0;0
2025;2;1;0;0;0
2025;2;2;0;0;0
2025;2;3;0;0;0
2025;2;4;0;0;0
2025;2;5;0;0;0
2025;2;6;0;0;0
2025;2;7;0.008;0.005;0.016
2025;2;8;0.104;0.148;0.157
2025;2;9;0.258;0.385;0.367
2025;2;10;0.415;0.569;0.543
2025;2;11;0.545;0.695;0.652
